#	x	|	y	|	demand	|	numItems	|	l	-	w	(for	each	item)
5.0	-4.0	52.0	2	11	5	31	3				
7.0	-4.0	47.0	4	5	14	5	12	5	7	18	3
9.0	-4.0	42.0	2	6	3	31	2				
11.0	-4.0	39.0	2	6	11	17	3				
-12.0	-3.0	36.0	2	4	13	5	10				
-10.0	-3.0	39.0	3	6	14	26	3	17	3		
-8.0	-3.0	42.0	3	7	9	6	7	7	3		
-6.0	-3.0	47.0	3	5	8	6	7	4	6		
-4.0	-3.0	52.0	4	5	13	16	8	14	5	23	2
-2.0	-3.0	60.0	2	6	9	27	4				
0.0	-3.0	69.0	2	5	11	21	2				
2.0	-3.0	60.0	4	7	9	13	7	7	6	13	3
4.0	-3.0	52.0	4	5	8	10	4	9	4	31	3
6.0	-3.0	47.0	3	5	8	8	6	12	4		
8.0	-3.0	42.0	2	4	8	4	6				
10.0	-3.0	39.0	1	7	9						
12.0	-3.0	36.0	2	15	3	31	2				
-13.0	-2.0	33.0	2	31	3	26	3				
-11.0	-2.0	36.0	1	6	8						
-9.0	-2.0	39.0	3	6	13	6	6	28	3		
-7.0	-2.0	42.0	3	5	14	5	8	15	2		
-5.0	-2.0	47.0	2	6	11	20	3				
-3.0	-2.0	52.0	4	7	11	15	4	9	4	14	2
-1.0	-2.0	60.0	1	25	3						
1.0	-2.0	60.0	2	6	6	15	3				
3.0	-2.0	52.0	3	10	4	27	3	15	2		
5.0	-2.0	47.0	3	15	4	5	4	13	3		
7.0	-2.0	42.0	3	26	4	6	4	25	2		
9.0	-2.0	39.0	4	6	12	30	2	18	2	16	2
11.0	-2.0	36.0	1	6	12						
13.0	-2.0	33.0	3	26	3	19	3	21	2		
-14.0	-1.0	31.0	2	7	14	5	4				
-12.0	-1.0	33.0	4	7	9	5	8	25	4	15	3
-10.0	-1.0	36.0	4	9	6	4	6	14	5	5	5
-8.0	-1.0	39.0	1	5	6						
-6.0	-1.0	42.0	1	26	3						
-4.0	-1.0	47.0	2	15	4	7	4				
-2.0	-1.0	52.0	1	8	5						
0.0	-1.0	60.0	4	6	14	20	4	9	3	15	2
2.0	-1.0	52.0	4	7	8	22	4	13	3	11	3
4.0	-1.0	47.0	1	16	3						
6.0	-1.0	42.0	1	4	12						
8.0	-1.0	39.0	1	9	3						
10.0	-1.0	36.0	2	7	7	23	3				
12.0	-1.0	33.0	4	5	11	31	3	6	3	24	2
14.0	-1.0	31.0	1	30	2						
-15.0	0.0	29.0	2	6	9	11	3				
-13.0	0.0	31.0	1	5	10						
-11.0	0.0	33.0	1	24	3						
-9.0	0.0	36.0	4	6	7	14	4	13	4	28	3
-7.0	0.0	39.0	2	6	10	7	4				
-5.0	0.0	42.0	2	8	12	7	7				
-3.0	0.0	47.0	4	4	8	8	7	7	6	15	2
-1.0	0.0	52.0	2	7	13	4	7				
1.0	0.0	52.0	1	15	4						
3.0	0.0	47.0	4	29	4	9	4	32	3	29	2
5.0	0.0	42.0	4	7	14	12	7	7	7	12	2
7.0	0.0	39.0	2	14	3	29	2				
9.0	0.0	36.0	1	17	3						
11.0	0.0	33.0	1	4	5						
13.0	0.0	31.0	1	6	14						
15.0	0.0	29.0	3	8	12	4	7	21	2		
-14.0	1.0	29.0	4	11	8	30	4	22	4	7	4
-12.0	1.0	31.0	4	7	8	6	7	13	4	11	2
-10.0	1.0	33.0	2	5	13	28	4				
-8.0	1.0	36.0	2	6	14	5	9				
-6.0	1.0	39.0	3	8	9	27	4	5	2		
-4.0	1.0	42.0	3	4	5	26	3	11	3		
-2.0	1.0	47.0	4	14	6	9	5	5	4	22	3
0.0	1.0	52.0	2	5	9	15	4				
2.0	1.0	47.0	4	5	11	7	10	6	8	7	4
4.0	1.0	42.0	2	17	4	19	2				
6.0	1.0	39.0	2	6	8	16	6				
8.0	1.0	36.0	1	15	3						
10.0	1.0	33.0	2	15	4	14	4				
12.0	1.0	31.0	1	32	4						
14.0	1.0	29.0	2	13	6	7	6				
-13.0	2.0	29.0	3	6	7	14	6	4	4		
-11.0	2.0	31.0	1	6	6						
-9.0	2.0	33.0	3	7	12	13	4	5	3		
-7.0	2.0	36.0	4	4	13	5	5	16	3	7	3
-5.0	2.0	39.0	1	6	11						
-3.0	2.0	42.0	2	24	4	28	3				
-1.0	2.0	47.0	4	5	11	6	10	10	5	29	2
1.0	2.0	47.0	4	10	8	7	6	15	4	13	4
3.0	2.0	42.0	4	6	13	7	9	10	4	31	2
5.0	2.0	39.0	3	8	12	5	5	10	2		
7.0	2.0	36.0	1	28	2						
9.0	2.0	33.0	3	7	9	10	6	13	3		
11.0	2.0	31.0	4	5	10	6	9	6	8	24	2
13.0	2.0	29.0	3	13	7	9	5	22	3		
-12.0	3.0	29.0	4	11	8	5	8	6	6	20	3
-10.0	3.0	31.0	2	10	6	20	3				
-8.0	3.0	33.0	2	6	11	5	8				
-6.0	3.0	36.0	1	15	4						
-4.0	3.0	39.0	3	4	7	7	6	14	4		
-2.0	3.0	42.0	3	5	7	9	5	18	4		
0.0	3.0	47.0	1	5	5						
2.0	3.0	42.0	1	7	5						
4.0	3.0	39.0	3	6	5	29	3	16	3		
6.0	3.0	36.0	3	11	8	23	4	16	3		
8.0	3.0	33.0	4	6	6	6	6	24	4	10	2
10.0	3.0	31.0	1	5	11						
12.0	3.0	29.0	3	15	4	29	3	8	2		
-11.0	4.0	29.0	1	6	5						
-9.0	4.0	31.0	1	14	4						
-7.0	4.0	33.0	1	7	5						
-5.0	4.0	36.0	1	13	8						
-3.0	4.0	39.0	2	11	5	31	3				
-1.0	4.0	42.0	1	12	2						
1.0	4.0	42.0	2	5	9	10	7				
3.0	4.0	39.0	4	7	14	5	6	8	5	21	2
5.0	4.0	36.0	4	5	14	8	6	30	4	14	4
7.0	4.0	33.0	2	14	6	16	3				
9.0	4.0	31.0	3	7	12	7	5	14	4		
11.0	4.0	29.0	2	12	6	6	6				
-10.0	5.0	29.0	2	6	12	5	6				
-8.0	5.0	31.0	2	30	4	24	3				
-6.0	5.0	33.0	3	6	5	6	5	27	3		
-4.0	5.0	36.0	3	6	11	10	7	15	3		
-2.0	5.0	39.0	3	21	4	18	3	13	3		
0.0	5.0	42.0	3	5	14	14	3	7	3		
2.0	5.0	39.0	2	7	13	17	2				
4.0	5.0	36.0	1	14	7						
6.0	5.0	33.0	4	6	11	5	8	25	3	4	3
8.0	5.0	31.0	1	30	2						
10.0	5.0	29.0	1	7	13						
-9.0	6.0	29.0	3	7	6	13	4	17	3		
-7.0	6.0	31.0	1	6	5						
-5.0	6.0	33.0	1	7	12						
-3.0	6.0	36.0	1	6	6						
-1.0	6.0	39.0	2	8	6	7	4				
1.0	6.0	39.0	1	6	13						
3.0	6.0	36.0	4	4	11	11	7	20	4	6	4
5.0	6.0	33.0	2	7	13	14	4				
7.0	6.0	31.0	1	28	3						
9.0	6.0	29.0	1	30	2						
-8.0	7.0	29.0	1	22	3						
-6.0	7.0	31.0	1	7	11						
-4.0	7.0	33.0	3	7	6	16	5	4	5		
-2.0	7.0	36.0	3	6	7	29	4	12	4		
0.0	7.0	39.0	1	14	5						
2.0	7.0	36.0	3	6	13	5	5	13	3		
4.0	7.0	33.0	4	15	8	7	7	5	5	5	4
6.0	7.0	31.0	1	6	7						
8.0	7.0	29.0	1	8	3						
-7.0	8.0	29.0	2	6	5	29	3				
-5.0	8.0	31.0	1	7	13						
-3.0	8.0	33.0	3	12	5	6	4	16	2		
-1.0	8.0	36.0	1	8	12						
1.0	8.0	36.0	3	11	7	4	4	20	2		
3.0	8.0	33.0	1	4	9						
5.0	8.0	31.0	4	6	10	5	4	19	3	19	2
7.0	8.0	29.0	1	13	2						
-6.0	9.0	29.0	3	7	6	11	5	16	3		
-4.0	9.0	31.0	1	7	7						
-2.0	9.0	33.0	3	6	8	5	6	11	4		
0.0	9.0	36.0	1	6	5						
2.0	9.0	33.0	2	6	6	14	4				
4.0	9.0	31.0	1	7	8						
6.0	9.0	29.0	1	16	3						
-5.0	10.0	29.0	4	7	6	25	4	30	2	15	2
-3.0	10.0	31.0	4	5	10	8	6	16	4	15	4
-1.0	10.0	33.0	4	7	9	6	7	4	4	14	3
1.0	10.0	33.0	3	8	14	5	12	6	11		
3.0	10.0	31.0	1	6	13						
5.0	10.0	29.0	1	27	3						
-4.0	11.0	29.0	1	8	4						
-2.0	11.0	31.0	1	17	4						
0.0	11.0	33.0	3	5	10	10	8	16	3		
2.0	11.0	31.0	4	10	6	9	5	22	3	13	3
4.0	11.0	29.0	2	8	9	5	7				
-3.0	12.0	29.0	4	5	13	6	8	11	5	12	3
-1.0	12.0	31.0	2	9	7	22	4				
1.0	12.0	31.0	1	7	4						
3.0	12.0	29.0	3	5	12	16	4	17	3		
-2.0	13.0	29.0	3	12	6	6	5	28	2		
0.0	13.0	31.0	2	5	6	7	2				
2.0	13.0	29.0	3	4	11	9	7	20	2		
-1.0	14.0	29.0	3	7	7	5	6	6	5		
1.0	14.0	29.0	2	16	4	15	3				
0.0	15.0	29.0	1	6	12
